date	time	from	message	spam	debit	credit	otp	bill
May-07-2019	12:17	AXOLACBS AXOLACBS 	Use code GET50 and get 50% off upto Rs 50 on your next 3 Mini/Prime rides in your city. Valid till 13th May. Ride Now!  					
May-23-2019	19:17	BROMGOFR BROMGOFR 	"Congratulations, 70% off on Car Insurance. Click here for details.   http://v3n.in/ZWPPKLHYLMZA  "					
Apr-04-2019	22:32	VKHDFCBK VKHDFCBK 	Rs. 1000.00 credited to a/c XXXXXX2392 on 04-04-19 by a/c linked to VPA singhdeepalit@okhdfcbank (UPI Ref No  909420139812).  					
Jun-05-2019	18:21	51466 51466 	Arriving early: Amul Comfy Men's Cotton Sele... will be delivered by AmzAgent(+911246811004 PIN 7271). Pay Rs.320 by Cash/Card. Track: http://amzn.in/d/iR2g6Ng  					
Apr-30-2019	2:07	AXHDFCBK AXHDFCBK 	"ALERT: You've spent Rs.800.00  on CREDIT Card xx1018 at NETFLIX.COM on 2019-04-29:23:36:58.Avl bal - Rs.173982.00, curr o/s - Rs.6018.00.Not you? Call 18002586161.  "					
Apr-21-2019	18:12	Digi Digi 	"Reload RM10 in a week and enjoy free IDD mins to call Indonesia and Nepal. Reload via MyDigi app, click http://digi.my/reload  "					
Apr-11-2019	1:39	GRAB GRAB 	<#> Your Grab Activation Code (GAC) is 135553 H9CMNjtZ1r6  					
Apr-05-2019	21:54	AXHDFCBN AXHDFCBN 	"SUPER DEAL:iPhoneXR@just Rs.53,900 Only on HDFC Bank Debit/Credit Card.  Rush to a store near you NOW! CashBack offers available with EASYEMI bit.ly/Xripho  "					
May-11-2019	15:35	51466 51466 	"Dispatched: Dr. Morepen BG-03 Gluco One Glucometer, 25 Strips (Multicolor) will reach you by 13-May. Track at http://amzn.in/d/6f0VdKR  "					
Apr-04-2019	22:00	VKSBIUPI VKSBIUPI 	"Your OTP is 500043 for Setting MPIN to your account, It is valid for next 10 mins, Do not disclose OTP to anyone.  "					
Jun-06-2019	21:54	HPFABHTL HPFABHTL 	Final Reminder! Your 1000 FabCredits expires in 6 hours on 2 bookings at FabHotels. No conditions apply. Click http://t1x.in/Eb9XoS17slDzdi to Book. Hurry!  					
May-02-2019	13:10	BZHDFCSL BZHDFCSL 	"Special trading privilege for you! Now pay Zero Brokerage on Nifty Options trading, till 31st May, 2019. Contact Vaibhav (your RM) - 02262576419  "					
Apr-13-2019	15:51	AXPAYZAP AXPAYZAP 	"ALERT!  Claim your Rs.3,000* CashBack now: resu.io/4TUQ7HZME2C6 Transact on PayZapp to use Bill Payments, BookMyShow, BigBasket, Flipkart & more. *T&C apply  "					
Apr-19-2019	13:53	AD650016 AD650016 	Benefits worth Rs2499 @Rs499 Upgrade to Infinity 499 &get Amazon Prime worth Rs999 & 3 months of Netflix worth Rs1500 at no extra cost www.airtel.in/5/Plan499  					
May-24-2019	18:21	AXvONEMG AXvONEMG 	Your Rs.100 1mgCash expires tomorrow- Use it to order medicines and get 25% OFF + Up to Rs.200 Paytm Cashback* Code: NEW25 Order - http://nmc.sg/e5DpcC  					
Apr-05-2019	4:21	AXSBIUPI AXSBIUPI 	"Dear SBI UPI User, your account is credited INR 1000.00 on Date 2019-04-04 07:50:56 PM by UPI Ref No 909419098878  "					
Apr-04-2019	23:03	BTHDFCSC BTHDFCSC 	Your MF SIP in ADITYA BIRLA SUN LIFE DIGITAL  is due for debit On 07-APR-19. Value : 3000 Trd No: 2979549 Kindly keep sufficient funds in your account. To Track Click here http://bit.ly/2uEEMez  					
May-28-2019	12:15	GRAB GRAB 	790432 is your Grab Activation Code (GAC). It expires in 2 minutes.  					
May-31-2019	1:42	AXHDFCBK AXHDFCBK 	"ALERT: You've spent Rs.800.00  on CREDIT Card xx1018 at NETFLIX.COM on 2019-05-30:23:12:25.Avl bal - Rs.174630.00, curr o/s - Rs.5370.00.Not you? Call 18002586161.  "					
May-27-2019	18:37	GRAB GRAB 	256288 is your Grab Activation Code (GAC). It expires in 2 minutes.  					
May-24-2019	17:31	IMRINGBL IMRINGBL 	PM à¤†à¤µà¤¾à¤¸ à¤¯à¥‹à¤œà¤¨à¤¾ à¤…à¤¬ à¤¸à¤¬ à¤šà¤¾à¤¬à¥€à¤¦à¤¾à¤° à¤…à¤ªà¤¨à¤¾ à¤˜à¤° 19à¤²à¤¾à¤– à¤®à¥‡ 90% à¤²à¥‹à¤¨ Cl 9278888070  					
Apr-06-2019	22:09	HSBCSG HSBCSG 	"HSBCSG: 08APR2019 22:08 Cash at HSBC/MPO-MIDPOINT ORCHAR from 175-033***-492 for SGD600.00. For assistance, call us at 18004722669 or +6564722669.  "					
May-22-2019	18:36	1069065745039920441 1069065745039920441 	"ÒÇÉµÁÀÕ║òµì×ÒÇæInternet Password: 98264,you are welcome to use the sea fishing provide free internet service  "					
Jun-03-2019	21:16	HPFABHTL HPFABHTL 	Final Reminder! Your 1000 FabCredits expire in few hours on 2 bookings at FabHotels. No conditions apply. Click http://t1x.in/XozGzkq89K58Rr to Book now. Hurry!  					
Apr-05-2019	13:38	BRMOFFER BRMOFFER 	Join Club Mahindra and enjoy an exotic 6N/7D trip to Europe for free*. Offer also includes 3 nights on a cruise. So hurry!   http://v3n.in/ZWPPKLHYLAKW  					
May-01-2019	11:18	AWARWINF AWARWINF 	"Dear Customer,while receiving an international call,if an Indian number or no number displays on your phone,please inform on toll free number 1800110420 / 1963.  "					
Jun-07-2019	17:17	HPSODEXO HPSODEXO 	"Hi, as per RBI Guidelines you must submit KYC doc immediately to continue to receive credit on your Sodexo Card. Click here to upload doc http://sodexo.live/kyc  "					
Apr-30-2019	12:12	IGNETMED IGNETMED 	SAVINGS ALERT! Flat 20% OFF* on Meds + 100% NMS SuperCash l code: MAHI100. Shop Now *T&C apply. https://nms.care/apr30_pm  					
May-05-2019	20:28	BRFBHTLS BRFBHTLS 	"Flash Sale: 5 PM - 12 AM Up to Rs.5000 OFF on 400+ FabHotels. Use code: FLASH Click: http://bit.ly/2VGnX4r to Book Now. Hurry, valid for stays till 31st May.  "					
Jun-02-2019	16:45	ADPBAPRV ADPBAPRV 	"Salary more than Rs 25,000! Apply personal loan @ rate starting just 10.99% & EMI @ just 2170/lac Disbursal in just 2 days. Apply http://nmc.sg/fw1T3t now  "					
Apr-06-2019	21:34	AD440004 AD440004 	"Navarasams southern culinary saga is here!  Try our saatvikam idlis, vadas & dosas with a special 10% introductory off! Order now @ http://bit.ly/2JsPRvB  "					
May-01-2019	17:38	121 121 	Important Info: (1) International roaming pack discounts are not applicable on premium/satellite calls/Maritime/Aero mobile (usage in aircraft)/Ship Cruise (2) Deactivate Call Diverts/Voice Mails on your Airtel Mobile by dialing ##002#    					
Apr-19-2019	20:30	ADCKSTRY ADCKSTRY 	"Hi NEELESH SHARMA ! You have 100 Points in your The Cake Story's wallet. Now, redeem up to Rs.100 on every online order at cakestory.in . Hurry, Redeem it NOW :)  "					
Apr-11-2019	11:43	BXSBIINB BXSBIINB 	"Dear Customer, State Bank of India wishes you a Very Happy Birthday and a Great Year ahead!  "					
May-12-2019	14:31	ADTbucks ADTbucks 	"Dear 7417959514, Rs.500 Free Paytm cash is waiting for you. Just Install Taskbucks: https://bit.ly/2T9MSgp  "					
Apr-18-2019	21:29	2901 2901 	RM 10.00 has been deducted for your biGBonus 10 (1.5GB + FREE 7GB) -7d subscription.  					
Apr-08-2019	11:14	AXMYAMEX AXMYAMEX 	"Dear Cardmember,Your balance on American Express card ending in 81003 is 0.00 as of 06/04/2019  "					
May-26-2019	11:19	BTFRZMNU BTFRZMNU 	"FreshMenu: Order a biriyani today - pepper masala, ghee roast. Rs40 credited to your account valid till tonight. Order - https://fmln.in/MJyHb5AzTW  "					
Apr-11-2019	12:02	AXIPRUMF AXIPRUMF 	"Greetings, ICICI Prudential Mutual Fund wishes you a very happy birthday and a great year ahead.  "					
Apr-02-2019	21:01	ADAYATRA ADAYATRA 	"Alert: Yatra employees will never ask for sensitive data like CVV, OTP, password etc. Nor will they ask to transfer funds to a personal account. Team Yatra  "					
May-07-2019	16:43	AXHDFCBN AXHDFCBN 	Don't let the Amazon Summer SALE slip away! Earn 10% CashBack with Debit Card via SmartBuy. Hurry! Sale ends today resu.io/4MT27HZME28v T&C  					
Apr-26-2019	17:07	51466 51466 	Arriving Today:Lotus Herbals Youthrx Anti-Ag.. will be delivered by AmzAgent(+911246811004 PIN 4874). Pay Rs.516 by Cash/Card. Track: http://amzn.in/d/j15H5rH  					
May-17-2019	23:06	AXZOMATO AXZOMATO 	"#FridayFeast  Order food at 50% OFF upto Rs.100 with code ZOMATONEW, valid 5 times. TCA. https://bnc.lt/WJml/ZyhXIti1KW  "					
Apr-03-2019	17:38	ADHDFCBN ADHDFCBN 	Earn reward points on your bill payment! With SmartPay using HDFC Bank Credit Card.  Start now: resu.io/HBHP7HZME2dZ  					
Jun-07-2019	1:18	HSBCSG HSBCSG 	"HSBCSG: 07JUN2019 01:18 Purchase at GRAB *C7A20A873AFB4451 on *** 0044 for SGD20.00. For assistance, call us at 18004722669 or +6564722669.  "					
May-19-2019	11:43	AD650016 AD650016 	"Netflix, Amazon Prime, Wynk music.   You get all this with unlimited calls and 75GB data, starting at just Rs499.  Click www.airtel.in/5/Plan499  "					
Apr-03-2019	19:13	AXSRLLAB AXSRLLAB 	"Your support has won SRL Diagnostics ""Best Brand in Diagnostic Services 2019"" award by The Economic Times! To book a test: visit nearest center/call 1800222000  "					
Apr-20-2019	10:17	ADMYAMEX ADMYAMEX 	A charge of INR 1.00 has been initiated on your American Express Card No. ***81003 at GOOGLE SERVICES on 20/04/2019 at 07:47AM IST.  					
May-18-2019	15:51	IMPZAHUT IMPZAHUT 	Weekend cravings! Order Pizza Hut's Tastiest Pan Pizzas. Now get 2 personal pizzas starting @ Rs 99 each. Walk In/Order @ PH99.in/hxTMoR T&C  					
Apr-08-2019	11:17	AXHDFCBK AXHDFCBK 	"DEAR CARDMEMBER, PAYMENT OF Rs. 1271.00 RECEIVED TOWARDS YOUR CREDIT CARD ENDING 1018 THROUGH Autopay ON 8-4-2019.YOUR AVAILABLE LIMIT IS RS. 177963.27  "					
May-29-2019	11:53	AXSPARHM AXSPARHM 	"SPAR FARMER'S MARKET! Mid-Week Fresh offers only @ SPAR! Click http://bit.ly/2W9Uelf to view offers. Also, Get 30% cashback with Paytm. Valid Today. T&C.  "					
May-31-2019	21:23	AXMETROS AXMETROS 	"It's almost EID! Time to add stars to your celebration with Metro Shoes EID collection. You can also redeem ClubMetro Points worth Rs.273 @ Metro Shoes Linking Road, Next To Mc Donalds, Bandra (West), M. T&C Apply. Here's a special greeting http://bit.ly/2HKvsiO  On :Apr-15-2019  At: 19:19 From :+6590240007 +6590240007 :  Your OTP is 514110 for your StarHub Wireless@SG account.  "					
May-01-2019	8:01	HSBCSG HSBCSG 	HSBCSG: 02MAY Transfer/Payment to basic account SGD 22.00+  					
Apr-27-2019	19:48	VKUSTRAA VKUSTRAA 	Spend more. Save More. Get 20% OFF on all orders. Shop above Rs.799 and get 20% + 20% OFF.   Shop now -> https://tx.gl/r/dKAG/JeD2J/g9oYgn8  					
May-09-2019	18:17	121 121 	"Details of bill dated 09-MAY-2019 for Airtel no. 7417959514: Total Due: Rs 588.82, Due Date: 27-MAY-2019, Bill Delivery Date: 13-May-2019. To view bill/pay online, click http://www.airtel.in/5/gen. For video guide, click airtel.in/paybills   "					
Apr-15-2019	18:53	HSBCSG HSBCSG 	"HSBCSG: 15APR2019 18:53 Purchase at DECATHLON SINGAPORE PL on *** 0044 for SGD39.90. For assistance, call us at 18004722669 or +6564722669.  "					
Jun-04-2019	22:23	HSBCSG HSBCSG 	"HSBCSG: 06JUN2019 22:23 Purchase at NTUC FP-ORCHARD G.C. on *** 0044 for SGD11.25. For assistance, call us at 18004722669 or +6564722669.  "					
May-22-2019	18:21	IMPZLENT IMPZLENT 	Instant personal loan starting from just 10.99% for people above Rs 30000 monthly salary. Disbursal in just 48Hrs.Click http://nmc.sg/eL7ytS to apply.  					
Apr-23-2019	21:29	IGNETMED IGNETMED 	Ends Soon! Flat 20% OFF on meds + 10% NMS Cash Use code: NMSMAHI40 Extra up to Rs. 400 Amazon Pay Cashback* (FLAT 10%) *T&C Apply https://nms.care/apr23_pe  					
May-17-2019	11:02	74722 74722 	"<ADV>Get S$150 cashback for an approved HSBC personal loan that you have applied through Online Banking!  Step 1 Visit www.hsbc.com.sg Step 2: Login to Online Banking with Security Device Step 3: Click on ""Account services"" at the top bar,followed by ""Quick apply"" Step 4: Scroll to HSBC Personal Loan and click on ""Apply now""  T&Cs apply.To unsub, reply <UN> to 74722.  "					
Apr-21-2019	12:26	AD650016 AD650016 	Do you want to save on your phone bills?Add a family member to your Airtel postpaid plan for Rs199 & save 25% on bill.T&C apply.www.airtel.in/5/create-family  					
May-22-2019	12:39	IMSPARHM IMSPARHM 	"SPAR FARMER'S MARKET! Eat Healthy Live Healthy. Click http://bit.ly/2VDTwrr to view best offers on Fruits,Veggies & more. Hurry! SHOP NOW. Valid today. T&C.  "					
Jun-02-2019	16:31	HSBCSG HSBCSG 	"HSBCSG: 03JUN2019 16:31 Purchase at GRAB *140998087-9-155 on *** 0044 for SGD13.90. For assistance, call us at 18004722669 or +6564722669.  "					
May-27-2019	20:28	VKKOTAKM VKKOTAKM 	"Kotak 811 Savings Account with DBT linkage gives you up to 6%* interest p.a! Get 811 to get your DBT, http://mqml.co/a44303 *T&C apply.  "					
May-18-2019	19:18	HPFABHTL HPFABHTL 	Fab Flash Sale! Avail Up to 60% + Extra 15% OFF on FabHotels till midnight. Code pre-applied Hurry! Click http://ggl.lc/?c61504/GdaGIEIEad to Book now! #StayFab  					
May-28-2019	20:21	GRAB GRAB 	826334 is your Grab Activation Code (GAC). It expires in 2 minutes.  					
Apr-04-2019	20:42	ADHDFCBN ADHDFCBN 	LIVE:Mi Fan Festival!  Latest Mi LED TV & smartphones at FLAT 5% OFF with HDFC Bank Cards & EMI (4-6th April)  Use HDFC Bank Cards & EMI resu.io/P7SX7HZME2J7  					
Jun-07-2019	17:45	VKUSTRAA VKUSTRAA 	Cool & crisp fragrance of the mountains now in a stunning glass bottle. Get USTRAA Base Camp with long lasting fragrance -> https://tx.gl/r/gW41/LKgs4/g9oYgn8  					
Apr-28-2019	21:42	BWHAPYGO BWHAPYGO 	Book flights on HappyEasyGo & pay via  Paypal. Use code: HEGPPAL to grab upto Rs800 off & Rs500 cashback. Minimum booking amount: Rs.2500. Book now! http://bit.ly/2PApEuG  					
May-04-2019	16:22	HSBCSG HSBCSG 	"HSBCSG: 04MAY2019 16:22 Purchase at SENTOSA GOOD OLD DAYS on *** 0044 for SGD30.61. For assistance, call us at 18004722669 or +6564722669.  "					
Apr-26-2019	21:42	TXFABIND TXFABIND 	"Fabindia Sale is here!! Shop for your loved ones @discount upto 70% at our Sec-15, Sec-29, MGF Plaza Mall & Ambience Mall Gurgaon Stores. Valid till stocks last  "					
Apr-30-2019	13:57	AX200001 AX200001 	Are you in need of money? Now avail Manappuram Gold Loan at today's loan value of Rs.2191/gram. Call 18004202233 or visit our nearest branch.*T&C Apply  					
May-16-2019	23:01	HSBCSG HSBCSG 	"HSBCSG: 17MAY Transfer from basic account SGD 3,000.00- to SingX Singapore for to singx to paa  "					
May-09-2019	19:41	HSBCSG HSBCSG 	"HSBCSG: 09MAY2019 19:41 Purchase at THE KARTING ARENA on *** 0044 for SGD35.00. For assistance, call us at 18004722669 or +6564722669.  "					
May-16-2019	23:01	HSBCSG HSBCSG 	HSBCSG: 16MAY Saved FAST TRANSFER TO ANOTHER BANK IN SINGAPORE To SingX Singapore For to singx to paa  					
May-02-2019	14:43	ADFRESHM ADFRESHM 	FreshMenu: Order Biriyanis @119 only! Order now-http://1kx.in/D6kjoOlMTpo Use code- THU30 to get Rs.30 OFF.  					
Apr-16-2019	16:45	BTTRADEB BTTRADEB 	Congratulations! Your free trading account will be opened & Get Rs 5500/- cashback. Check Now - http://1kx.in/OS3nGESEiL9  On :Apr-16-2019  At: 23:15 From :+6586664553 +6586664553 :  Grab food arrived  On :Apr-16-2019  At: 23:15 From :+6586664553 +6586664553 :  Wait I'll come downstairs  					
May-03-2019	20:43	BTHDFCSC BTHDFCSC 	Your MF SIP in DSP MIDCAP FUND - REGULAR PLAN is due for debit On 07-MAY-19. Value : 3000 Trd No: 2979549 Kindly keep sufficient funds in your account. To Track Click here http://bit.ly/2uEEMez  					
May-10-2019	11:58	BZHDFCSL BZHDFCSL 	"Special trading privilege for you! Now pay Zero Brokerage on Nifty Options trading, till 31st May, 2019. Contact Vaibhav (your RM) - 02262576419  "					
Apr-30-2019	19:27	HSBCSG HSBCSG 	"HSBCSG: 30APR2019 19:27 NETS Purchase at 7-ELEVEN              7- from 175-033***-492 for SGD7.20. For assistance, call us at 18004722669 or +6564722669.  "					
May-18-2019	18:34	IMPZAHUT IMPZAHUT 	Weekend cravings! Order Pizza Hut's Tastiest Pan Pizzas. Now get 2 personal pizzas starting @ Rs 99 each. Walk In/Order @ PH99.in/hxTMoR T&C  					
Apr-25-2019	20:30	ADHDFCBN ADHDFCBN 	"Login to your MobileBanking App with a 4 digit Quick Access PIN! Go to 'Set up Quick Access PIN' >Enter Customer ID, registered Mobile No. & Debit Card details  "					
Apr-28-2019	18:30	HSBCSG HSBCSG 	"HSBCSG: 29APR2019 18:30 Purchase at GRAB *GRABFOOD on *** 0044 for SGD11.90. For assistance, call us at 18004722669 or +6564722669.  "					
May-31-2019	18:25	AXMYLESC AXMYLESC 	"Its FriYAY! Book now for Amaze, Scorpio, Swift, KUV-100 or Creta & get Flat 20% off on spend of Rs.7000. Use Coupon Code: ""CAR20"" Visit http://bit.ly/2IA8XZ T&C  "					
Apr-16-2019	16:30	VKUSTRAA VKUSTRAA 	USTRAA Shower Buddy Combo is all you need to take on the heat. Plus Free Shipping. Shop Now -> https://tx.gl/r/dyiK/IA29d/g9oYgn8  					
May-31-2019	16:14	HSBCSG HSBCSG 	"HSBCSG: 31MAY2019 16:14 Purchase at GRAB *05DE4ADF71C149CF on *** 0044 for SGD20.00. For assistance, call us at 18004722669 or +6564722669.  "					
Apr-10-2019	16:22	AXSPARHM AXSPARHM 	"SPAR FARMER'S MARKET! Eat healthy, Live healthy. Click this link http://bit.ly/2ImnCg2 to view special offers on Fruits & Vegetables.Valid only for today. T&C.  "					
May-06-2019	11:12	AXMYAMEX AXMYAMEX 	"Dear Cardmember,Your balance on American Express card ending in 81003 is 0.00 as of 04/05/2019  "					
Apr-18-2019	15:21	HSBCSG HSBCSG 	"HSBCSG: 18APR2019 15:21 Purchase at FRESHLY BAKED BY LE BIJO on *** 0044 for SGD3.00. For assistance, call us at 18004722669 or +6564722669.  "					
May-24-2019	15:38	HSBCSG HSBCSG 	"HSBCSG: 24MAY Salary to basic account SGD 6,647.49+  "					
Apr-26-2019	16:59	HSBCSG HSBCSG 	"HSBCSG: 26APR2019 16:59 Purchase at PLAIN VANILLA BAKERY- TE on *** 0044 for SGD8.25. For assistance, call us at 18004722669 or +6564722669.  "					
May-19-2019	12:34	IM701127 IM701127 	Navarasams SouthIndian breakfast meals for your morning! Try our saatvikam idlis vadas dosas @ special 40% Off Code ZOMATO Order now @ http://bit.ly/2JsPRvB  					
Apr-18-2019	19:26	121 121 	"Roaming info: Now roam freely without fear of bill shocks. In case you have not subscribed for a roaming pack and your usage charges/day exceeds Rs.499, we will automatically activate UNLIMITED Min free incoming calls, 500 MB data, 100 mins of free local/calls to India & 100 SMS for that day without any extra cost. For details, call +919910099100 (International tollfree) or click www.airtel.in/ir (data charges apply). Airtel wishes you a happy stay. Special offer for Airtel customers. Get 25% instant discount on your International Hotel booking with MakeMyTrip. Use Code: IHAIRTEL and book at applinks.makemytrip.com/SMsf/c4W8jxoQVH T&C Apply - bit.ly/2hVm4f7  "					
May-03-2019	14:43	IM301127 IM301127 	"Craving for a non-veg Friday treat?  Try Navarasams new & exclusive chicken tikka, kheema, mutton dosas! 30% Off Code ZOMATO Order now @ http://bit.ly/2JsPRvB  "					
May-04-2019	23:14	ADHDFCBN ADHDFCBN 	Akshaya Tritiya Exclusive!  Enjoy 5X Reward Points on Jewellery with your HDFC Bank Credit Card. Valid on 6th & 7th May. Know more : resu.io/A9BC7HZME2r4 T&C  					
May-17-2019	13:22	HSBCSG HSBCSG 	"HSBCSG: 17MAY2019 13:22 Purchase at KOMALA'S RESTAURANTS AR on *** 0044 for SGD8.30. For assistance, call us at 18004722669 or +6564722669.  "					
May-22-2019	22:42	IMHDFCBK IMHDFCBK 	Gear Up! Enjoy FLAT Rs.500 off on Redmi Note 7S with HDFC Bank Cards/EMI@Flipkart & mi.com Sale starts 23 May|Limited stock Check details resu.io/X7S27HZME2Cu T&C  					
Apr-22-2019	1:50	200 200 	Try out Unlimited Social Messaging Roaming Pass from RM5 per day. Dial *800# to purchase.  					
Apr-17-2019	12:40	BZvpaytm BZvpaytm 	Pay Later at Zero Cost! Get money for your spends on Paytm & pay back next month. Activate in 10 seconds! http://m.p-y.tm/Ppst  					
May-07-2019	22:44	51466 51466 	"We could not deliver your order with Astaberry 24 Carat Gold Facia... We will re-attempt on 08-May. If you were not contacted, tell us:http://amzn.in/d/eHO6LJH  "					
May-03-2019	22:33	HSBCSG HSBCSG 	"HSBCSG: 04MAY2019 22:33 Purchase at TICKETING on *** 0044 for SGD90.00. For assistance, call us at 18004722669 or +6564722669.  "					
Jun-04-2019	21:16	BTHDFCSC BTHDFCSC 	Your MF SIP in DSP MIDCAP FUND - REGULAR PLAN is due for debit On 07-JUN-19. Value : 3000 Trd No: 2979549 Kindly keep sufficient funds in your account. To Track Click here http://bit.ly/2uEEMez  					
May-05-2019	14:08	AXLSKART AXLSKART 	"Still Over-Paying for your Eye & Sunglasses? New Round, Aviator, Air, Cat-Eye @2 for Rs.999 (with lenses) at Lenskart Install App lskt.me/c10 Store lskt.me/n10  "					
Apr-18-2019	16:57	BZvpaytm BZvpaytm 	Watch Avengers: Endgame for just Rs.99. Buy the movie voucher now on Paytm & get 100% Cashback* up to Rs.250 on tickets. Click http://m.p-y.tm/avgday *T&C apply  					
May-16-2019	21:07	HSBCSG HSBCSG 	"HSBCSG: 16MAY2019 21:07 Purchase at GRAB *140998087-9-142 on *** 0044 for SGD13.90. For assistance, call us at 18004722669 or +6564722669.  "					
May-22-2019	15:01	IMSPARHM IMSPARHM 	"SPAR FARMER'S MARKET! Eat Healthy Live Healthy. Click http://bit.ly/2VDTwrr to view best offers on Fruits,Veggies & more. Hurry! SHOP NOW. Valid today. T&C.  "					
May-10-2019	15:11	IM401127 IM401127 	"Craving Non-Veg Friday treats?  Try Navarasams new & exclusive chicken tikka, kheema, mutton dosas! 30% Off Code ZOMATO75 Order now @ http://bit.ly/2JsPRvB  "					
May-13-2019	20:31	AXHDFCBK AXHDFCBK 	Home Loans starting at 8.70%*. Special offer for Govt Employees: Get longer tenure and higher eligibility. Call 1800 267 6161 or apply: resu.io/J9R27HZME2H4  *T&C  					
Jun-01-2019	15:34	AXAXISMF AXAXISMF 	"Dear Investor, please make a note of our additional contact number 81086 22211 to get in touch with our customer service team anytime between 8am to 8pm Monday to Friday and 9am to 6pm on Saturday and Sunday. Mutual Fund Investments are subject to market risks, read all scheme related documents carefully. Axis MF  "					
May-03-2019	11:48	HSBCSG HSBCSG 	"HSBCSG: 03MAY2019 11:48 Purchase at GARDENS BY THE BAY - CAF on *** 0044 for SGD5.00. For assistance, call us at 18004722669 or +6564722669.  "					
Apr-22-2019	14:24	HSBCSG HSBCSG 	"HSBCSG: 22APR2019 19:19 Purchase at GRAB *140998087-9-114 on *** 0044 for MYR12.00. For assistance, call us at 18004722669 or +6564722669.  "					
Apr-27-2019	14:46	AXFMJEAN AXFMJEAN 	"Flying Machine's WOW Weekend offer: BUY 2 get 1 FREE on ALL cool styles. HURRY, offer valid only this weekend 27th-28th Apr. Shop NOW @Flying Machine T&C  "					
Apr-12-2019	23:53	AXGoibib AXGoibib 	"Reminder: Keep the app open when KKR plays @ 8pm Today to earn Unlimited Travel Cash. Also, get a surprise bonus when you join. go.ibi.bo/OXAnWYRZwV  "					
May-13-2019	22:05	HSBCSG HSBCSG 	"HSBCSG: 13MAY2019 22:05 Purchase at GUZMAN Y GOMEZ on *** 0044 for SGD7.90. For assistance, call us at 18004722669 or +6564722669.  "					
May-15-2019	19:31	HSBCSG HSBCSG 	"HSBCSG: 15MAY2019 19:31 Purchase at ZARA-313@SOMERSET on *** 0044 for SGD89.90. For assistance, call us at 18004722669 or +6564722669.  "					
Apr-01-2019	13:08	AXNOBRKR AXNOBRKR 	"Hi Neelesh Sharma,  Is your BHK2 property in Sector 24 available for rent? To reactivate your property, give a missed call at 7208572085  "					
May-29-2019	14:35	GRAB GRAB 	277771 is your Grab Activation Code (GAC). It expires in 2 minutes.  					
May-23-2019	11:46	SingX SingX 	840532 is your verification OTP for fund Transfer.  					
Apr-15-2019	17:01	HSBCSG HSBCSG 	HSBCSG: 15APR Transfer to basic account SGD 9.00+  					
Apr-26-2019	17:51	51466 51466 	Pay Rs 675.00 for your incoming Amazon order BioOil... Click to Pay: http://amzn.in/2HQ9dcd   					
Apr-27-2019	13:27	AXMETROS AXMETROS 	"Metro Shoes Summer Mania! Get Instant Free Shopping of Rs.200 on your shopping of Rs.1990 to Rs.4989 & Rs.700 on your shopping of Rs.4990 & above. Hurry! Valid till 19 May'19 @ Metro Shoes, Linking Road, Next to McDonalds, Bandra (West), Mumbai-400052. T: 022-26492899. T&C Apply  "					
Apr-23-2019	14:41	IMHDFCBN IMHDFCBN 	Planning your Summer Holidays?  Book flights & hotels to avail 10% CashBack using your HDFC Bank Debit Card via SmartBuy  resu.io/4C8G7HZME2hm  T&C  					
May-16-2019	13:53	SingX SingX 	843803 is your verification OTP for fund Transfer.  					
Apr-25-2019	21:39	AXHDFCBN AXHDFCBN 	Perfect time to Book another FD at higher rates! Book in 3 simple steps. Login : resu.io/M9Q97HZME2CE  >Transact>Open FD less than Rs 5 Cr T&C  					
May-29-2019	22:09	HPRoyalC HPRoyalC 	WEDNESDAY'S MOST DELICIOUS NEWS-YOUR FAVOURITE BBQ BUFFET DINNER @RS.649 FLAT for veg and non veg  offer valid for today only.reserve your table@8920911765  					
May-08-2019	11:50	GRAB GRAB 	169330 is your Grab Activation Code (GAC). It expires in 2 minutes.  					
Jun-09-2019	11:36	AD650016 AD650016 	"ZEE5 premium at NO EXTRA COST! Watch latest movies & shows like Simba, URI, Kedarnath & The Final call on Airtel Thanks App! www.airtel.in/5/Plan499  "					
May-09-2019	12:21	ADNOBRKR ADNOBRKR 	"Hi Neelesh Sharma,  Is your BHK2 property in Sector 24 available for rent? To reactivate your property Ad for FREE, give a missed call at 7208572085  "					
May-22-2019	18:43	BRPROCES BRPROCES 	"Hello,  Your ICICI Credit Card can be approved. Check Now   http://v3n.in/ZWPPKLHYLPLK  "					
May-09-2019	16:40	51466 51466 	Arriving Today:Dr. Morepen BG-03 Gluco One G.. will be delivered by AmzAgent(+911246811004 PIN 6877). Pay Rs.504 by Cash/Card. Track: http://amzn.in/d/0plENi3  					
Apr-19-2019	11:47	ADMYAMEX ADMYAMEX 	A charge of INR 1.00 has been initiated on your American Express Card No. ***81003 at GOOGLE SERVICES on 19/04/2019 at 09:17AM IST.  					
Apr-22-2019	19:21	HSBCSG HSBCSG 	"HSBCSG: 22APR2019 13:05 Purchase at A POKE THEORY on *** 0044 for SGD9.90. For assistance, call us at 18004722669 or +6564722669.  "					
Apr-26-2019	22:33	ADHDFCBN ADHDFCBN 	MORE savings await you!Enjoy XTRA 5% CashBack LG/Voltas/Whirlpool & more.Simply shop with EasyEMI on Credit Card 1018 Know more: bit.ly/CASHBACK500 T&C  					
